wreck_id,strauss_id,name,parker_number,country,sea_area,region_db,latitude,longitude,date_start,date_end,cargo_types,provenance,destination,region
7845,0,Freu d'en Valento,428,,,,0.0,0.0,-50.0,25.0,,,,western_med
7846,0,Frontignan,429,,,,0.0,0.0,25.0,75.0,,,,western_med
7847,0,Gaidouromandhra,431,,,,0.0,0.0,-425.0,-400.0,,,,eastern_med
7848,0,Galbucina,432,,,,0.0,0.0,-550.0,-450.0,,,,western_med
7849,0,Galli,433,,,,0.0,0.0,-150.0,400.0,,,,western_med
7850,0,Gallinaria,434,,,,0.0,0.0,-500.0,-400.0,,,,western_med
7851,0,Gandolfo,435,,,,0.0,0.0,90.0,100.0,,,,western_med
7852,0,La Garoupe A,436,,,,0.0,0.0,10.0,35.0,,,,western_med
7853,0,La Garoupe B,437,,,,0.0,0.0,-100.0,-25.0,,,,western_med
7854,0,La Garoupe C,438,,,,0.0,0.0,140.0,200.0,,,,western_med
7855,0,Gavetti,439,,,,0.0,0.0,-100.0,-1.0,,,,western_med
7856,0,Gavrion,440,,,,0.0,0.0,-500.0,-200.0,,,,eastern_med
7857,0,Gela A,441,Italy,,Sicily,37.03333,14.26666,-525.0,-475.0,amphorae; Pottery,,,western_med
7858,0,Genoa,442,,,,0.0,0.0,-130.0,-110.0,,,,western_med
7860,0,Gibraltar A,444,,,,0.0,0.0,-150.0,400.0,,,,western_med
7861,0,Gibraltar B,445,,,,0.0,0.0,-150.0,400.0,,,,western_med
7862,0,Gibraltar C,446,,,,0.0,0.0,300.0,750.0,,,,western_med
7863,0,Gibraltar Strait,447,,,,0.0,0.0,1.0,100.0,,,,western_med
7864,0,Giens A/Redonne B1,448,France,Western Mediterranean,Var,0.0,0.0,-200.0,-175.0,amphorae; Campanian A ceramics - Lamboglia 27Ba cups with palms et 27c with rosettes as well as small cups L34a.,,,western_med
7865,0,Giens B,449,,,,0.0,0.0,1.0,100.0,,,,western_med
7866,0,Giglio,450,,,,0.0,0.0,1200.0,1400.0,,,,western_med
7867,0,Giglio Campese A,451,Italy,,Tuscany,0.0,0.0,-600.0,-590.0,"amphorae; Attic and Corinthian ceramics, circular ingots (80cm diameter).",,,western_med
7868,0,Giglio Campese B,452,,,,0.0,0.0,-200.0,-1.0,,,,western_med
7869,0,Giglio Porto,453,Italy,,Tuscany,0.0,0.0,200.0,225.0,amphorae,North Africa,,western_med
7870,0,Ginosar,454,,,,0.0,0.0,25.0,67.0,,,,eastern_med
